ClosePeriod,Entity,PostingDate,DocNo,DocType,Account,Amount,Currency,Text,FSLine,BSPLFlag,AccountName
2025-01,ENT01,01/01/2025,OB-2025-0001,OB,572000,49200,EUR,Opening balance - bank,Cash,BS,Cash - Bank
2025-01,ENT01,01/01/2025,OB-2025-0001,OB,100000,-36900,EUR,Opening balance - share capital,Equity,BS,Share Capital
2025-01,ENT01,01/01/2025,OB-2025-0001,OB,577000,1845,EUR,Opening balance - petty cash,Cash,BS,Cash - Petty cash
2025-01,ENT01,01/01/2025,OB-2025-0001,OB,112000,-2460,EUR,Opening balance - legal reserve,Equity,BS,Legal Reserve
2025-01,ENT01,01/01/2025,OB-2025-0001,OB,430000,14760,EUR,Opening balance - AR,Trade receivables,BS,Accounts Receivable
2025-01,ENT01,06/01/2025,AR-INV-2025-0001,ARINV,430000,1799.3547,EUR,AR invoice AR-INV-2025-0001 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,13/01/2025,AR-INV-2025-0002,ARINV,430000,7161.6996,EUR,AR invoice AR-INV-2025-0002 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,10/01/2025,AR-INV-2025-0003,ARINV,430000,4592.8938,EUR,AR invoice AR-INV-2025-0003 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,06/01/2025,AR-INV-2025-0004,ARINV,430000,3309.9792,EUR,AR invoice AR-INV-2025-0004 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,27/01/2025,AR-INV-2025-0005,ARINV,430000,11477.7696,EUR,AR invoice AR-INV-2025-0005 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,02/01/2025,AR-INV-2025-0006,ARINV,430000,1916.9304,EUR,AR invoice AR-INV-2025-0006 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,03/01/2025,AR-INV-2025-0007,ARINV,430000,6521.7306,EUR,AR invoice AR-INV-2025-0007 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,10/01/2025,AR-INV-2025-0008,ARINV,430000,1836.5622,EUR,AR invoice AR-INV-2025-0008 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,24/01/2025,AR-INV-2025-0009,ARINV,430000,6038.0331,EUR,AR invoice AR-INV-2025-0009 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,01/01/2025,OB-2025-0001,OB,129000,-19065,EUR,Opening balance - profit/loss,Equity,BS,Profit or Loss
2025-01,ENT01,01/01/2025,OB-2025-0001,OB,410000,-7380,EUR,Opening balance - AP trade,Trade payables,BS,Accounts Payable - Services/Accruals
2025-01,ENT01,06/01/2025,AR-INV-2025-0001,ARINV,700000,-1487.07,EUR,SaaS revenue AR-INV-2025-0001,Revenue,PL,Subscription revenue
2025-01,ENT01,13/01/2025,AR-INV-2025-0002,ARINV,700000,-5918.76,EUR,SaaS revenue AR-INV-2025-0002,Revenue,PL,Subscription revenue
2025-01,ENT01,10/01/2025,AR-INV-2025-0003,ARINV,700000,-3795.78,EUR,SaaS revenue AR-INV-2025-0003,Revenue,PL,Subscription revenue
2025-01,ENT01,06/01/2025,AR-INV-2025-0004,ARINV,700000,-2735.52,EUR,SaaS revenue AR-INV-2025-0004,Revenue,PL,Subscription revenue
2025-01,ENT01,27/01/2025,AR-INV-2025-0005,ARINV,700000,-9485.76,EUR,SaaS revenue AR-INV-2025-0005,Revenue,PL,Subscription revenue
2025-01,ENT01,02/01/2025,AR-INV-2025-0006,ARINV,700000,-1584.24,EUR,SaaS revenue AR-INV-2025-0006,Revenue,PL,Subscription revenue
2025-01,ENT01,03/01/2025,AR-INV-2025-0007,ARINV,700000,-5389.86,EUR,SaaS revenue AR-INV-2025-0007,Revenue,PL,Subscription revenue
2025-01,ENT01,10/01/2025,AR-INV-2025-0008,ARINV,700000,-1517.82,EUR,SaaS revenue AR-INV-2025-0008,Revenue,PL,Subscription revenue
2025-01,ENT01,06/01/2025,AR-INV-2025-0001,ARINV,477000,-312.2847,EUR,Output VAT 21% AR-INV-2025-0001,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,13/01/2025,AR-INV-2025-0002,ARINV,477000,-1242.9396,EUR,Output VAT 21% AR-INV-2025-0002,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,10/01/2025,AR-INV-2025-0003,ARINV,477000,-797.1138,EUR,Output VAT 21% AR-INV-2025-0003,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,06/01/2025,AR-INV-2025-0004,ARINV,477000,-574.4592,EUR,Output VAT 21% AR-INV-2025-0004,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,27/01/2025,AR-INV-2025-0005,ARINV,477000,-1992.0096,EUR,Output VAT 21% AR-INV-2025-0005,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,02/01/2025,AR-INV-2025-0006,ARINV,477000,-332.6904,EUR,Output VAT 21% AR-INV-2025-0006,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,03/01/2025,AR-INV-2025-0007,ARINV,477000,-1131.8706,EUR,Output VAT 21% AR-INV-2025-0007,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,10/01/2025,AR-INV-2025-0008,ARINV,477000,-318.7422,EUR,Output VAT 21% AR-INV-2025-0008,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,24/01/2025,AR-INV-2025-0009,ARINV,700000,-4990.11,EUR,SaaS revenue AR-INV-2025-0009,Revenue,PL,Subscription revenue
2025-01,ENT01,24/01/2025,AR-INV-2025-0009,ARINV,477000,-1047.9231,EUR,Output VAT 21% AR-INV-2025-0009,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,24/01/2025,AR-INV-2025-0010,ARINV,430000,11419.7259,EUR,AR invoice AR-INV-2025-0010 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,24/01/2025,AR-INV-2025-0010,ARINV,700000,-9437.79,EUR,SaaS revenue AR-INV-2025-0010,Revenue,PL,Subscription revenue
2025-01,ENT01,24/01/2025,AR-INV-2025-0010,ARINV,477000,-1981.9359,EUR,Output VAT 21% AR-INV-2025-0010,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,10/01/2025,AR-INV-2025-0011,ARINV,430000,12143.0397,EUR,AR invoice AR-INV-2025-0011 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,10/01/2025,AR-INV-2025-0011,ARINV,700000,-10035.57,EUR,SaaS revenue AR-INV-2025-0011,Revenue,PL,Subscription revenue
2025-01,ENT01,10/01/2025,AR-INV-2025-0011,ARINV,477000,-2107.4697,EUR,Output VAT 21% AR-INV-2025-0011,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,27/01/2025,AR-INV-2025-0012,ARINV,430000,7972.8231,EUR,AR invoice AR-INV-2025-0012 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,27/01/2025,AR-INV-2025-0012,ARINV,700000,-6589.11,EUR,SaaS revenue AR-INV-2025-0012,Revenue,PL,Subscription revenue
2025-01,ENT01,27/01/2025,AR-INV-2025-0012,ARINV,477000,-1383.7131,EUR,Output VAT 21% AR-INV-2025-0012,VAT output,BS,VAT output (Output VAT 21%)
2025-01,ENT01,01/01/2025,AR-INV-2025-0013,ARINV,430000,5082.5445,EUR,AR invoice AR-INV-2025-0013 (total),Trade receivables,BS,Accounts Receivable
2025-01,ENT01,01/01/2025,AR-INV-2025-0013,ARINV,700000,-4200.45,EUR,SaaS revenue AR-INV-2025-0013,Revenue,PL,Subscription revenue
